docker exec -it spark-jupyter python3 /opt/work/scripts/kafka_producer.py --delay 0.005
Found 12 parquet file(s)
Connected to Kafka  : kafka:9092
Topic               : network-traffic
Delay               : 0.005s (~200 rec/s)
Max records         : all

  Sent:  620,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  625,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  630,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  635,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  640,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  645,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  650,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  655,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  660,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  665,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  670,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  675,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  680,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  685,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  690,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  695,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  700,000  |  Failed: 0  |  Rate: 153 rec/s
  Sent:  705,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  710,000  |  Failed: 0  |  Rate: 154 rec/s
  Sent:  715,000  |  Failed: 0  |  Rate: 153 rec/s
